"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
0.04501,0.053385,-0.003,0.04501,0.053385,-0.003,0.68781,0.04501,0.053385,-0.003,44.659,351.81,0,0,0,0,-6.3094e+05,5.2244e+05,-0.00012953,0.081386,2.4151,0,7.155e+07,73841,16.865,0.72947,1.4206e-05,1.7645e-06,-7.7096e+05,-0.40884,13.58,-3.3335e-11,0.99754,1.1895
0.045008,0.053407,-0.003,0.045008,0.053407,-0.003,0.6876,0.045008,0.053407,-0.003,44.253,351.83,0,0,0,0,-7.098e+05,-19858,-2.6083e-05,0.081088,2.4541,0,7.1342e+07,73855,16.865,0.72956,9.2108e-06,1.9406e-07,-7.3659e+05,-1.1693,13.057,-9.12e-12,0.99776,1.1725
0.045006,0.053429,-0.003,0.045006,0.053429,-0.003,0.68796,0.045006,0.053429,-0.003,44.007,351.84,0,0,0,0,79821,-1.0977e+05,7.1945e-05,0.081199,2.5863,0,7.1706e+07,73832,16.865,0.72938,-2.9311e-05,-4.0085e-06,-7.445e+05,-1.8673,13.068,3.5919e-12,0.99797,1.1892
0.045002,0.05345,-0.003,0.045002,0.05345,-0.003,0.68783,0.045003,0.05345,-0.003,43.886,351.9,0,0,0,0,-58710,5.6179e+05,-1.4126e-05,0.082692,2.8279,0,7.2311e+07,73840,16.865,0.72933,-2.3285e-05,-2.0505e-06,-7.7708e+05,-2.8291,13.341,-1.8201e-11,0.99817,1.2409
0.044997,0.053471,-0.003,0.044997,0.053471,-0.003,0.68744,0.044997,0.053471,-0.003,43.86,351.97,0,0,0,0,-2.9609e+05,-35025,5.7356e-05,0.084647,3.1092,0,7.1676e+07,73865,16.865,0.72939,3.3174e-06,1.9372e-06,-7.734e+05,-3.7143,13.242,-1.6541e-11,0.99835,1.2935
0.044991,0.053492,-0.003,0.044991,0.053492,-0.003,0.68784,0.044991,0.053492,-0.003,43.903,352,0,0,0,0,2.8961e+05,15764,-4.6087e-05,0.086074,3.4779,0,7.1813e+07,73839,16.865,0.72913,-7.3519e-06,-2.6301e-06,-8.1896e+05,-4.5882,13.777,5.3338e-12,0.99852,1.3576
0.044984,0.053512,-0.003,0.044984,0.053512,-0.003,0.68763,0.044984,0.053513,-0.003,43.987,352.08,0,0,0,0,-76822,9.4883e+05,-8.6358e-05,0.089192,3.9297,0,7.2577e+07,73853,16.865,0.72911,-2.7254e-05,-1.2569e-05,-8.7571e+05,-5.8207,14.224,2.0554e-11,0.99868,1.4191
0.044975,0.053532,-0.003,0.044975,0.053532,-0.003,0.68707,0.044975,0.053532,-0.003,44.083,352.16,0,0,0,0,-1.2715e+05,71600,-2.7623e-06,0.093415,4.4054,0,7.1808e+07,73889,16.865,0.72923,-2.7249e-05,-1.4215e-05,-8.7998e+05,-6.8067,14.161,1.5946e-11,0.99882,1.4573
0.044965,0.053552,-0.003,0.044965,0.053552,-0.003,0.68762,0.044965,0.053552,-0.003,44.182,352.2,0,0,0,0,8.2563e+05,4.8041e+05,-1.3061e-05,0.097328,4.9489,0,7.2436e+07,73854,16.865,0.72889,2.2018e-05,9.9856e-06,-9.5779e+05,-7.9821,14.773,1.3098e-11,0.99894,1.4897
0.044954,0.05357,-0.003,0.044954,0.05357,-0.003,0.68717,0.044956,0.053571,-0.003,44.257,352.3,0,0,0,0,79507,1.8629e+06,-6.5777e-05,0.10314,5.3249,0,7.3719e+07,73883,16.865,0.72896,5.1804e-05,3.0625e-05,-1.0424e+06,-10.153,14.51,4.1923e-11,0.99905,1.4663
0.044941,0.053587,-0.003,0.044941,0.053587,-0.003,0.68625,0.044941,0.053587,-0.003,44.318,352.39,0,0,0,0,-1.9456e+05,1.3965e+06,8.5413e-05,0.11221,5.4335,0,7.2233e+07,73943,16.865,0.72927,6.8064e-05,6.186e-05,-9.9178e+05,-11.511,12.887,3.9099e-11,0.99911,1.3072
0.044926,0.053603,-0.003,0.044926,0.053603,-0.003,0.68625,0.044926,0.053603,-0.003,44.387,352.42,0,0,0,0,3.1827e+05,1.2947e+06,0.00023785,0.12009,5.5635,0,7.1177e+07,73943,16.865,0.72924,5.5132e-05,5.3137e-05,-9.3959e+05,-11.839,11.801,7.5809e-12,0.99914,1.0543
0.04491,0.053618,-0.003,0.04491,0.053618,-0.003,0.68584,0.04491,0.053618,-0.003,44.45,352.47,0,0,0,0,-43081,1.4074e+06,0.00017555,0.12732,5.667,0,7.1485e+07,73969,16.865,0.72938,4.3359e-05,4.924e-05,-9.2126e+05,-12.133,10.925,3.2849e-11,0.99915,0.73169
0.044893,0.053632,-0.003,0.044893,0.053632,-0.003,0.68556,0.044893,0.053632,-0.003,44.507,352.51,0,0,0,0,1.401e+05,1.2545e+06,9.2806e-05,0.13633,5.6015,0,7.1393e+07,73988,16.865,0.72948,3.566e-05,4.0389e-05,-8.6599e+05,-11.92,9.7224,3.7549e-11,0.99915,0.51086
0.044876,0.053645,-0.003,0.044876,0.053645,-0.003,0.68542,0.044876,0.053645,-0.003,44.563,352.55,0,0,0,0,1.3896e+05,1.349e+06,-3.5152e-05,0.14692,5.4951,0,7.1315e+07,73996,16.865,0.72952,-2.8205e-05,-3.917e-05,-8.1391e+05,-11.627,8.5579,-2.5243e-11,0.99914,0.68077
0.044858,0.053657,-0.003,0.044858,0.053657,-0.003,0.68511,0.044858,0.053657,-0.003,44.612,352.59,0,0,0,0,-2361.3,1.2219e+06,-4.3779e-05,0.16041,5.3061,0,7.1256e+07,74017,16.865,0.72963,-1.9507e-05,-2.6616e-05,-7.5249e+05,-11.139,7.3598,-1.1291e-11,0.9991,1.0201
0.044839,0.053668,-0.003,0.044839,0.053668,-0.003,0.68494,0.044839,0.053668,-0.003,44.654,352.61,0,0,0,0,73462,9.6747e+05,-1.5389e-05,0.17671,4.9437,0,7.1291e+07,74027,16.865,0.72967,1.2199e-05,1.7975e-05,-6.6264e+05,-10.103,6.1332,2.9416e-11,0.99905,1.257
